path	product_id	updated	quality	supplier_id	prod_id	catid	m_prod_id	ean_upc	on_market	country_market	model_name	product_view	high_pic	high_pic_size	high_pic_width	high_pic_height	m_supplier_id	m_supplier_name	ean_upc_is_approved	Limited	Date_Added
export/freexml.int/NL/1399.xml	1399	20191115145540	ICECAT	1	C4872A	377	4872A	5705965480557;0777785507870;0886986291232;9082014024907;6092014024923;0088698629123;0735029220800;4053162277090;5051964081876;0882780756328	1	NL;BE;FR;UA;GB;DE;BG;RU;CY;IE;PT;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;AE;CA;CL;MX;MY;TR;ZA;LU	80	333140	http://images.icecat.biz/img/gallery/1399_2162651130.jpg	2719119	4200	2772	1	HP	0;0;0;0;0;1;0;0;0;1	No	20051027000000
export/freexml.int/NL/1400.xml	1400	20191115145541	ICECAT	1	C4874A	377	C4874A	0008869862913;0735029212096;0886986291300;5705965480571;0882780756342;0778890617676;4250905208230;4053162277113;0088698629130;5054484043874;0999900713137;0807027516800;0609224642760;0713789969009;0700580277426	1	NL;BE;FR;UA;GB;DE;BG;RU;CY;IE;PT;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;AE;CA;CL;MX;MY;TR;ZA	80	283127	http://images.icecat.biz/img/gallery/1400_0045049942.jpg	2859109	4200	2952			0;0;0;0;1;0;0;0;1;0;0;0;0;0;0	No	20051027000000
export/freexml.int/NL/1401.xml	1401	20191115151034	ICECAT	1	C4891A	377	C4891A	0088698629208;0008869862920;0807027516893;0999992821987;0882780756397	1	NL;BE;FR;GB;DE;HU;NO;US;CA	80	73997	http://images.icecat.biz/img/norm/high/1401-HP.jpg	30737	400	400			1;0;0;0;1	No	20051028000000
export/freexml.int/NL/1402.xml	1402	20191115151033	ICECAT	1	C4893A	377	C4893A	0088698629222;0882780756410	1	NL;BE;GB;DE;HU;NO;IT;US;CA	80	73541	http://images.icecat.biz/img/norm/high/1402-HP.jpg	30650	400	400			1;1	No	20051028000000
export/freexml.int/NL/1403.xml	1403	20191115145542	ICECAT	1	C4934A	377	C4934A	5051964083603;4053162277304;5055344664543;0251842526016;0025184252601;0882780756465	1	NL;BE;FR;UA;GB;DE;BG;RU;LT;CY;IE;PT;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;AE;CA;MX;MY;TR;ZA;LU	81	281448	http://images.icecat.biz/img/gallery/1403_2968452477.jpg	2068356	4200	2220			0;0;0;0;1;1	No	20051028000000
export/freexml.int/NL/1404.xml	1404	20191115145542	ICECAT	1	C4935A	377	C4935A	5704327657262;5051964083320;0882780756472;0251842526184;4053162277311;0025184252618;5055344664550;5054484067405;5054629005613;4250783520486	1	NL;BE;FR;UA;GB;DE;BG;RU;GR;IE;PT;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;AE;CA;CL;MX;MY;TR;ZA	81	279231	http://images.icecat.biz/img/gallery/1404_8731518081.jpg	2072223	4200	2256			0;0;1;0;0;1;0;0;0;0	No	20051028000000
export/freexml.int/NL/1405.xml	1405	20191115151036	ICECAT	1	C4993A	377	C4993A	0025184252717;0999992713831;0882780756571	1	GB;DE;HU;NO;SE;IT;MX	81	73703	http://images.icecat.biz/img/norm/high/1405-HP.jpg	24279	400	400			1;0;1	No	20051028000000
export/freexml.int/NL/1406.xml	1406	20191115151036	ICECAT	1	C4994A	377	C4994A	0025184252724;5051395529138;0882780756588	1	BE;FR;GB;DE;DK;HU;NO;SE;IT;US;MY;LU	81	89066	http://images.icecat.biz/img/norm/high/1406-HP.jpg	24280	400	400			1;0;1	No	20051028000000
export/freexml.int/NL/1407.xml	1407	20191115151035	ICECAT	1	C4995A	377	C4995A	0025184252731;0882780756595	1	GB;DE;HU;NO;IT;US;MY	81	84444	http://images.icecat.biz/img/norm/high/1407-3832.jpg	24663	300	300			1;1	No	20051028000000
export/freexml.int/NL/1408.xml	1408	20191115145542	ICECAT	1	C4942A	377	C4942A	0002518425276;0251842527624;5704327420293;4053162277342;0956258042050;0025184252762;0882780756779;5051395528933;20025184252766	1	NL;BE;FR;UA;GB;DE;BG;RU;IE;PT;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;CA;CL;MX;MY;TR;ZA	83	269439	http://images.icecat.biz/img/gallery/1408_5959684485.jpg	795567	2931	1257			0;0;0;0;0;1;1;0;0	No	20051028000000
